,Company,JobTitle,Location,EmploymentType,Seniority,Category,GovSupport,Minsalary,Maxsalary,Monthly,JobLink,PostedDate,ClosingDate,RoleResponsibility,Requirements
0,SOFTENGER (SINGAPORE) PTE. LTD.,Python Developer,East,Permanent,Senior Executive,Information Technology,Government support available,"$4,000 ","$6,000 ",Monthly,/job/87571257055ea4ad2df1097fb2f7b4bb,21-Mar-18,20-Apr-18," PYTHON Scripting (4+yrs of hands on Experience) 	‰Û¢ Unix 	‰Û¢ Oracle PL/SQL 	‰Û¢ Automation Testing Awareness 	‰Û¢ Data Reconciliation 	‰Û¢ Agile Project Execution knowledge 	‰Û¢ Very Good Communication (written and spoken) & Presentation Skills 	‰Û¢ Data Warehousing knowledge (Optional) 	‰Û¢ Worked on any Data Mart Solutions 	‰Û¢ Investment Banking Experience (PWM area) "," PYTHON Scripting (4+yrs of hands on Experience) 	‰Û¢ Unix 	‰Û¢ Oracle PL/SQL 	‰Û¢ Automation Testing Awareness 	‰Û¢ Data Reconciliation 	‰Û¢ Agile Project Execution knowledge 	‰Û¢ Very Good Communication (written and spoken) & Presentation Skills 	‰Û¢ Data Warehousing knowledge (Optional) 	‰Û¢ Worked on any Data Mart Solutions 	‰Û¢ Investment Banking Experience (PWM area) "
1,OSIM INTERNATIONAL PTE. LTD.,Full Stack Web Developer,East,Permanent,Senior Executive,Information Technology,Government support available,"$3,000 ","$4,000 ",Monthly,/job/64abcf9145e471c5969def8ac292e417,21-Mar-18,20-Apr-18,"Job Summary Being part of OSIM‰Ûªs IOT development team, you will be responsible in designing, developing, and implementing modern web applications for both frontend and backend on top of our CRM platform. You will determine database architecture and design, deriving conversion and migration methods for existing data. You will compose solutions that incorporate web-services, RESTful Web components, NoSQL data frameworks and large scale distributed system to drive insights from vast amounts of structured and unstructured data. Engage with multiple functional teams (Product Design, UI/UX designer, Graphics Designer, CRM and Marketing) to comprehend client challenges, prototype new ideas and new technologies, and help to create solutions to drive the next wave of IOT innovation while exemplifying utmost attention to quality and timely delivery."," Bachelor‰Ûªs Degree in Computer Science/Information Technology/Software 2-3 years in Full-stack development experience designing and building web applications and web services, with a stronger need for backend experience Working knowledge on AWS services is preferred Experience building and documenting RESTful Web APIs using Node.js, Express.js, MS SQL Server, and Swagger is required Experience building and maintaining user-facing web interfaces for desktop and mobile devices using HTML/5, CSS/3, and JavaScript is required Expertise in relational databases (Microsoft SQL Server, MySQL) a must, experience with NoSQL databases (MongoDB) a plus Solid understanding of the full web technology stack, including protocols and Web server optimization techniques åÊ(e.g HTTP, cookies, headers, asset loading/caching) Knowledge of at least one scripting language, including PHP, Python, or Bash and in depth knowledge of JSON, XML Schema standard Experience with source control platform such as Git Meticulous and resourceful with good planning and organizational skills, along with creative and analytical thinking skills Good interpersonal and strong communication skills (written and oral) in English and Mandarin is required to liaise with Chinese-speaking clients "
2,SEAGATE SINGAPORE INTERNATIONAL HEADQUARTERS PTE. LTD.,Senior Pricing Analyst,Central,Permanent ...,Executive,Engineering ...,Government support available,"$8,000 ","$12,000 ",Monthly,/job/2d81d151649a49a79f0dc87051959862,21-Mar-18,20-Apr-18,"åÊPricing Analyst - Asia Pacific Business and Markets (Open) Includes jobs responsible for a variety of activities that directly support the sales function and customer support. Professional Job Category: Develops, evaluates and implements pricing strategies and models based upon current business and competitive market dynamics. Conducts research and performs competitive pricing analysis. Monitors ongoing competitive environment to ensure practices do not adversely impact company reputation or customer satisfaction. Partners with Sales/Marketing, Business Development and Finance to correctly position product portfolio and establish pricing programs aligned with product/sales strategy and revenue recognition requirements. Projects impact of pricing changes, individual promotions and rebate programs on revenue. Creates/administers pricing databases and coordinates implementation of pricing proposals across the organization. Mgmt Job Category: Defines, develops, evaluates and oversees the implementation of pricing models and strategies designed to optimize revenue, market share, brand positioning and long-term profits. Partners with Sales/Marketing, Business Development, Finance and other key stakeholders to correctly position product portfolio and establish pricing programs aligned with product/sales strategy and revenue recognition requirements. Monitors the ongoing business environment to ensure competitive pricing/market position and directs the development and analysis of pricing models and projections. Oversees the implementation of pricing proposals across the organization. Performs data and information analysis leading to business decisions or recommendations. Frequently includes preparation of reports and other documents. Does not apply to office/support jobs that work with data or data bases. åÊ åÊ","Min 5 toåÊ8 years of experience in Similar role or handling BusinessåÊ Experience in Business Planning , Pricing Strategies , Branding or Business Development or Product Management will be preferredåÊ Must have experience in Competitive pricing analysisåÊ Candidate should have regional experience and other marketsåÊ Korean / Chinese Langauge Competencies desiredåÊ Willing to travel"
3,CENTRAL PROVIDENT FUND BOARD,Database Administrator,Central,Permanent ...,Executive,Engineering ...,,,,,/job/371adc8bea3f0a5ca92903b076c3fce2,15-Mar-18,30-Apr-18,"As trustee of the nation‰Ûªs savings, our work shapes the future of Singaporeans. In our hands we hold the future of real people and real lives. We foster an environment of trust and encourage positive relationships for effective teamwork. We offer you the space to develop with meaningful opportunities and fresh challenges. We adopt a total rewards focus comprising competitive remuneration, attractive benefits and non-monetary recognition. Responsibilities:  åá To setup, implementation, maintenance and upgrade database services.åÊ åá To ensure compliance to database security standards and policies, operational support of the databasesåÊ åá To upkeep of database related assets and documentation. åá To ensure the security and resiliency of data assets and database services Requirements:  åá At least 10 years of experience in database administration and data management technologies. åá Proven experience in database design, data maintenance and database security and WebSphereåÊ åá Familiarity in software development, system technology and backup & disaster recovery solutions will be advantageous åá Ability to respond to emergency situations on promptly where required The seniority of the role will commensurate with your experiences and skills. åÊ Find out more at CPF Careers page.åÊ TRUST. Everything We Stand For. åÊ",-
4,JTC Corporation,Statistician,Islandwide,Permanent ...,Manager,Sales / Retail ,,,,,/job/9bc467959367a2c8794c631cfb1c877c,5-Mar-18,30-Apr-18,"Responsibilities
As a statistician, you will be required to plan, design and manage statistical projects such as conducting surveys, managing statistical databases and performing statistical research and analysis. This will involve editing, analysing and making sense of large amounts of data from various sources, to optimise statistical processes and derive more insights of the data to support policy-making decision.
åÊ
Requirements
Background in Statistics, Mathematics, Economics or other related disciplines and subjects with substantial quantitative content. Strong analytical and quantitative skills with the ability to learn and apply relevant statistical and analytical tools and techniques for data compilation and analysis. Good communication and presentation skills. Able to work well both independently and as a member of a team. Good knowledge in Microsoft Office e.g. Excel and Access. Working knowledge on statistical programming language (like R and Python) and visualisation tools (e.g Tableau, Qlik Sense, etc) åÊwill be advantageous.åÊ Candidates without working experience are welcome to apply.åÊ",-
5,Singapore Land Authority,"Assistant Manager, GeoAnalytics",Islandwide,Permanent ...,Manager,Sales / Retail ,,"$4,200 ","$8,200 ",Monthly,/job/341dcfba7d261cd62bed2143a0d89400,26-Feb-18,26-Apr-18,"Assistant Manager, GeoAnalytics Job Scope:  Lead a team to perform GeoAnalytics Projects for both internal and external stakeholders, developing GIS strategic plans and establishing project objectives and deliverables. Subject matter expert for automation of GIS functionalities, data processing, system integration strategies.  Build internal capabilities in programming and coding for data processing.   Requirements:  Degree, preferably in the areas of Geospatial/Computer Science/Engineering or similar area of study. At least 5 years of working experience in geospatial information science, technology/e-services and/or commercial 2D/3D geospatial & modelling applications, IoT, and Big Data. Experience in Opensoure for Geospatial, Hive, PIG, NoSQL databases, Python, R, Full Stack Dev, Leaflet, Chart.js, etc. Experience with GIS software and Business Intelligence software (e.g. Qlikview, Tableau). Excellent communication and presentation skills. Able to relate technical information to all levels of the organisation.  åÊ åÊ",-
6,Singapore Land Authority,"Senior / Principal Researcher, Underground Geospatial",South,Full Time,Manager,Information Technology ...,,"$2,800 ","$5,600 ",Monthly,/job/16f40d65f6b99d5994d04297a66269ae,26-Feb-18,26-Apr-18,"Senior/Principal Researcher, Underground Geospatial
Job Scope:
Research and experiment emerging geospatial technologies (such as automated change detection, spatial-temporal analysis, machine learning algorithms), in collaboration with other agencies or technology/research institutions.
Conceptualise and formulate high-level strategies, design system architectures and develop technical standards required for the integration and use of (2D and 3D) above-ground and underground geospatial information.
Build, code, and test geospatial technologies and algorithms (including data acquisition, data integration, modelling visualisation, and analytics).
Requirements:
Degree or Masters preferably in the areas of GeoSpatial Science/Technology, Computer Science, Software Engineering, or equivalent.
At least 3 years of working experience in geospatial information science and technology or related fields.
Proficient knowledge in GIS, geospatial data modelling, and geodatabase management, and open standards
Knowledge in machine learning and change detection techniques, remote sensing, application development will be an added advantage.
Strong communication and interpersonal skills, problem-solving skills, and the ability to work in a team.
åÊ
åÊ",-
7,Health Promotion Board,"Executive, National Immunisation Registry Operations",South,Full Time,Manager,Information Technology ...,,,,,/job/0769e58342fd0f75986f01b70c66807e,24-Feb-18,23-May-18,"Job Responsibilities  Reports to the Supervisor (National Immunisation Registry/NRDO), you will be responsible for the following: Timely entry of notification forms received so as to enable accurate reporting of immunisation coverage in Singapore Manage records from multiple sources and enter data as accurately and comprehensively as possible into the system Process Summary of Immunisation request by public via email or walk-in Answer calls and email enquiries from healthcare institutions and public (e.g. parents/guardians of children relating to immunisation matters), to facilitate accurate reporting of immunisation coverage in Singapore Verify vaccination records and process applications to ensure vaccination requirements are fulfilled for foreign children applying for long term immigration passes to Singapore Provide administrative support so that departmental goals can be met  Job Requirements  Diploma holder with minimum 2 years of work experienceåÊ Proficient in Microsoft office software and other similar computer software Possess a willingness to learn new things and open to changes Ability to work with other team members and colleagues in different settings and cultures Ability to learn on the job with a positive attitude Effectively bilingual with excellent communication skills Able to identify and resolve erroneous data Work well under pressure and manage queries and complaints from public with efficiency and tact Proven ability to enter data accurately and at the required speed Team player and effective collaborator, able to foster strong relationships and influence outcomes åÊ  åÊ",-
8,Republic Polytechnic,Office of Information Services - Manager  /  Deputy Manager (Learning Application Development),Central,Permanent,Executive,Public / Civil Service,No relevant experience required,,,,/job/59c05d52f00fc6fe0b51ec5488f833d8,23-Jan-18,31-Dec-18,"Job Responsibilities - Establish and track project plans, milestones and deliverables in consultation with all stakeholders - Strategize, design and manage the execution of effective development frameworks (including plans, processes, etc.) for software / application, using industry standards of best practices and methodologies - Work closely with users to translate teaching and learning functional specifications into technical requirements and systems - Work closely with vendors to design, configure, develop and manage the development of systems for teaching and learning - Work closely with the relevant departments on the test procedures at various test stages of the applications - Understand and collate business data and reporting requirements. Translate the requirements into user specifications. - Design and streamline the business data model; Develop dashboards and reports to support the analytical capabilities Requirements - Relevant qualification in Learning Design, Information Technology or equivalent - Familiar with online course design, course delivery and various pedagogies - Experience in the various learning tools in the education market like Learning Management Systems, Learning Activity Management Systems, Learning Analytics, eResource Systems, Assessment Systems etc - Able to identify appropriate uses of emerging web and mobile technologies within a variety of educational settings - 2 to 8 years of experience in implementing and managing learning systems and applications in higher education - Experience in any of the programming languages - .net, java, HTML5, open source and other programming languages - Strong project management skills with technical competencies - Excellent communication (both oral and written) skills - Excellent analytical and problem solving skills - A resourceful, independent, self-starter and team player - Keenness for data mining and analysis, with good understanding of incepting and delivering high quality analytical reports - Experience with Business Analytical Tools (Tableau, Power BI etc)",-
9,AUTODESK ASIA PTE. LTD.,Senior Software Engineer,Central,Permanent,Executive,Public / Civil Service,Government support available,"$4,917 ","$9,833 ",Monthly,/job/22b21ab75cb2d7f688808d793b87124f,19-Apr-18,19-May-18,"Autodesk is the world leader in design software with over $2B in revenue and customers in every industry you can think of. Not only are our digital entertainment creation tools used on the Best Visual Effects Oscar-winning movies for a staggering 16 years in a row, but our design tools are being used to build everything else that didn‰Ûªt sprout up from the ground.åÊ  We're looking for an experienced senior software engineer with a passion for clean, simple, usable design, to join our Product Data Management (PDM) team. This team develops, maintains and supports Autodesk PDM products. PDM is an ecosystem of Client & Server components, next generation Web client, File/Database Replication Engines, SDK, CAD Add-ins, Cloud Services and a variety of integrations with world leading CAD Products such as AutoCAD, Inventor and Revit. The PDM suite of product is used by companies globally, including large enterprises to manage engineering design data across multiple sites in different continents.åÊ ResponsibilitiesåÊ  Design, prototype, implement, unit test and troubleshoot features according to product specifications.åÊ Deliver results that meet product specifications with a high level of quality and customer satisfaction.åÊ Design, re-factor and optimize source code to effectively leverage object-oriented design, development, and code reuse.åÊ Create effort estimation tasks for projects undertaken and ensure their completion on time, adhering to pre-determined specification and quality standards.åÊ Work with tech leads and architects in order to maintain high quality code and architecture consistency. Work with User Experience Designer to provide solutions to market requirements that are both innovative and implementable. Work closely with Quality Assurance in testing and problem analysis and resolution.åÊ Collaborate with the extended team of Software Developers, User Experience Designers and Quality Assurance engineers across worldwide engineering sites. Provide input to technical publications and review documentation of new features. ","RequirementsåÊ  Bachelor Degree in Computer Science or equivalent. MSc is desirableåÊ 7+ years' experience in software development Excellent C#/C++ programming skills and experience on Microsoft Windows is a must Experienced and strong in object-oriented design and architecture is a must Experience with Microsoft technologies (Visual Studio, .NET 2.0/3.0/4.0, Component Object Model, Windows Presentation Foundation and Winform) is desirable Working knowledge of Windows Power Shell or other Windows and automation scripting technologies, WebDAV, FTP, HTTP, ReST, JSON and XML technologies Experience in developing web applications using frameworks like React, Angular is desirable Ideal candidate should be self-motivated, possessing initiative to get things done with minimal supervision, demonstrate willingness to have an opinion and explain the rationale for it Excellent communication and interpersonal skills Quality mindset and comfortable working with colleagues across different time zones  Preferred Qualifications  Experience with Agile/Scrum development methodologies Experience with various performance/profiling tools and techniques Experience with Microsoft Foundation Class Familiarity with Autodesk CAD products and their APIs, such as Inventor, AutoCAD and Revit Experience with using other product web end-points/APIs Experience working with SQL or related database languages "
